Longitude,Latitude,Speed,Distance,Time,Acc X,Acc Y,Acc Z,Heading,Pitch,Roll,gyro_x,gyro_y,gyro_z,gravity_x,gravity_y,gravity_z
34.80059081,31.26168937,0.0,0.06659904,10-26-46,0.45849562,0.031974196,0.79682446,252.0,-6.1857576,-13.183185,-0.015411377,-0.014923096,0.06864929,-2.1704726,1.0519314,9.505413
34.80059081,31.26168937,0.0,0.06659904,10-26-46,0.45849562,0.031974196,0.79682446,252.0,-6.2107368,-13.473706,-0.05142212,0.08459473,0.039749146,-2.1704726,1.0519314,9.505413
34.80059081,31.26168937,0.0,0.06659904,10-26-46,0.3086965,0.1545316,-0.11363697,251.0,-6.876057,-13.978017,-0.05142212,0.08459473,0.039749146,-2.2759416,1.0665388,9.47908
34.80059081,31.26168937,0.0,0.06659904,10-26-46,0.3086965,0.1545316,-0.11363697,251.0,-8.204197,-14.47661,0.112197876,0.09661865,0.085876465,-2.2759416,1.0665388,9.47908
34.80059112,31.26168932,0.0,0.041056253,10-26-46,0.2249558,1.1813366,-0.8247576,251.0,-7.7386374,-15.029277,0.112197876,0.09661865,0.085876465,-2.4278598,1.2279303,9.421681
34.80059112,31.26168932,0.0,0.041056253,10-26-46,0.2249558,1.1813366,-0.8247576,251.0,-7.0204735,-14.856799,-0.10017395,0.056259155,0.0047302246,-2.4278598,1.2279303,9.421681
34.80059112,31.26168932,0.0,0.041056253,10-26-47,-0.36610556,0.08519602,-0.14801598,251.0,-6.3839583,-14.108866,-0.10017395,0.056259155,0.0047302246,-2.4552042,1.1692361,9.422062
34.80059112,31.26168932,0.0,0.041056253,10-26-47,-0.36610556,0.08519602,-0.14801598,251.0,-6.0850945,-13.980546,-0.065597534,-0.096343994,-0.0061035156,-2.4552042,1.1692361,9.422062
34.80059112,31.26168932,0.0,0.041056253,10-26-47,0.017209768,-0.5369288,0.9145546,251.0,-5.5246153,-14.270456,-0.065597534,-0.096343994,-0.0061035156,-2.378589,0.9704874,9.464189
34.80059112,31.26168932,0.0,0.041056253,10-26-47,0.017209768,-0.5369288,0.9145546,252.0,-5.520674,-15.025518,-0.056167603,0.10171509,0.014709473,-2.378589,0.9704874,9.464189
34.80059112,31.26168932,0.0,0.041056253,10-26-47,0.5504768,-0.18708074,-0.45241642,253.0,-5.2005496,-15.835859,-0.056167603,0.10171509,0.014709473,-2.515218,0.8868771,9.437029
34.80059112,31.26168932,0.0,0.041056253,10-26-47,0.5504768,-0.18708074,-0.45241642,254.0,-4.431502,-16.10539,-0.02885437,0.08691406,-0.15359497,-2.515218,0.8868771,9.437029
34.80059112,31.26168932,0.0,0.041056253,10-26-47,0.17481565,-0.8164685,-0.36097145,254.0,-4.0980773,-16.159258,-0.02885437,0.08691406,-0.15359497,-2.6812036,0.762098,9.402167
