time,range,yaw
31.3,34,1.86
37.5,0,0
49.2,10,0.289203673
51.2,0,0
85.5,34,5.001592654
87.9,0,0
97.7,10,3.430796327
102.6,0,0
114.1,10,0.289203673
116.7,0,0
147,34,1.86
150.1,0,0
160.9,10,3.430796327
163.4,0,0
194.9,34,5.001592654
