
***** VIDEOINPUT LIBRARY - 0.1995 - TFW07 *****

reading from input file
initializing...
25.7,-256.52,22.1756
25.7,-257.267,22.6201
25.8,-258.934,23.116
25.9,-260.402,23.6971
26.8,-252.511,34.1599
26.9,-251.289,33.722
27,-251.592,34.0255
27.1,-253.698,31.4804
28.8,-258.548,44.8411
28.9,-257.493,47.3897
29,-258.444,50.385
29.1,-257.936,51.4049
29.2,-259.441,52.9795
29.3,-262.505,56.296
29.3,-263.027,60.641
29.4,-263.96,60.3205
29.5,-267.474,64.6999
29.6,-268.095,65.5306
29.7,-268.085,69.1987
29.8,-270.081,72.8162
29.9,-272.689,77.9717
30.8,-268.048,82.231
30.9,-265.761,94.2
31,-266.745,102.233
32.8,-275.712,112.486
32.9,-270.698,112.072
33,-267.857,112.002
33.1,-258.867,106.178
33.2,-255.039,103.789
33.2,-251.863,103.067
33.3,-252.822,102.639
33.4,-250.026,100.284
33.5,-246.017,100.232
33.6,-243.294,101.551
33.7,-237.18,104.941
33.8,-232.757,108.254
33.9,-225.357,110.336
34,-220.905,113.617
34.1,-213.631,109.897
34.2,-207.223,108.445
34.3,-202.168,104.362
34.4,-199.363,105.556
34.5,-199.418,99.5003
34.6,-199.832,89.5586
34.7,-200.461,86.197
34.8,-202.969,84.2549
34.9,-206.19,78.379
34.9,-206.592,72.2163
35,-209.445,71.2857
36.8,-210.604,62.8909
36.9,-212.672,60.3529
37,-214.408,59.6471
37.1,-213.989,58.9624
37.2,-214.936,58.0301
37.3,-213.414,59.2795
37.4,-211.162,58.4066
37.5,-210.262,57.2135
37.6,-209.484,62.7587
37.7,-215.884,61.4124
37.7,-218.214,60.7895
37.8,-225.245,62.6283
38.7,-232.533,54.1707
38.8,-231.329,53.6073
38.9,-230.679,52.5555
39,-230.62,51.3861
39.1,-230.327,50.2778
39.2,-228.972,48.4103
39.3,-225.047,48.4643
39.4,-220.78,46.3853
39.5,-214.316,46.876
39.6,-209.937,46.2935
39.7,-208.837,43.6978
39.8,-206.793,44.2204
39.9,-208.853,41.6002
40,-208.364,41.9802
40.1,-209.208,41.1828
40.2,-209.093,42.0498
40.3,-211.105,40.9318
40.4,-212.253,40.5781
40.5,-214.511,38.489
40.6,-215.998,39.1112
40.7,-218.048,39.097
40.7,-218.78,36.5847
40.8,-220.544,34.4148
40.9,-221.049,32.8931
